sociality,touch_1,target_2,target_3,multi_ag_vs_jointact_1,multi_ag_vs_jointact_2,ToM,people_present
304,1.0,0.002503912376531775,0.002503912376531775,0.046771762062952305,0.0,0.0,0.0,1.0
305,1.0,0.0,0.0,0.4436417182836204,0.0,0.0,0.0,1.0
306,1.0,0.0,0.0,0.37454430329326166,0.0,0.0,0.0,1.0
307,1.0,0.0,0.0,0.11483183905245352,0.0,0.0,0.0,1.0
308,1.0,0.0,0.0,0.020210377307712083,0.0,0.0,0.0,1.0
309,1.0,0.0,0.0,0.002503912376531775,0.0,0.0,0.0,1.0
310,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
311,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
312,1.0,0.0,0.0,0.0,0.04426784968642053,0.0,0.0,1.0
313,1.0,0.0,0.0,0.04426784968642053,0.4879095679700409,0.0,0.0,1.0
314,1.0,0.0,0.0,0.4436417182836204,0.8181860215768821,0.0,0.0,1.0
315,1.0,0.0,0.0,0.37454430329326166,0.4893761423457152,0.0,0.0,1.0
316,1.0,0.0,0.0,0.15909968873887403,0.13504221636016558,0.0,0.0,1.0
317,1.0,0.0,0.0,0.4638520955913325,0.022714289684243855,0.0,0.0,1.0
318,1.0,0.0,0.0,0.3770482156697934,0.002503912376531775,0.0,0.0,1.0
319,1.0,0.0,0.0,0.11483183905245352,0.0,0.0,0.0,1.0
320,0.9557321503135794,0.0,0.0,0.020210377307712083,0.0,0.0,0.0,1.0
321,0.5120904320299591,0.0,0.0,0.002503912376531775,0.0,0.0,0.0,0.9557321503135794
322,0.18181397842311792,0.0,0.0,0.04426784968642053,0.0,0.0,0.0,0.5563582817163796
323,0.5106238576542848,0.0,0.0,0.4879095679700409,0.0,0.0,0.0,0.6254556967067383
324,0.8649577836398342,0.0,0.04426784968642053,0.8624538712633025,0.0,0.0,0.0,0.8851681609475465
325,0.9772857103157561,0.0,0.4436417182836204,0.9772857103157561,0.0,0.0,0.0,0.9797896226922879
326,0.9974960876234682,0.0,0.37454430329326166,0.9974960876234682,0.0,0.0,0.0,0.9974960876234682
327,1.0,0.0,0.11483183905245352,1.0,0.0,0.0,0.0,1.0
