durativity,telicity,iterativity,predictability
42,0.9330178606293357,0.8649577836398343,0.9330178606293357,0.9772857103157562
43,0.5095865196534273,0.9772857103157562,0.5095865196534273,0.9974960876234682
44,0.1818139784231179,0.9974960876234682,0.1818139784231179,1.0
45,0.5106238576542848,1.0,0.5106238576542848,1.0
46,0.8649577836398343,1.0,0.8649577836398343,1.0
47,0.9330178606293357,1.0,0.9330178606293357,1.0
48,0.5538543693398478,1.0,0.5538543693398478,1.0
49,0.6254556967067384,1.0,0.6254556967067384,1.0
50,0.840900311261126,1.0,0.840900311261126,0.9557321503135794
51,0.49188005472224694,1.0,0.49188005472224694,0.5563582817163797
52,0.13504221636016558,0.9557321503135794,0.13504221636016558,0.5811878470203178
53,0.06698213937066438,0.5120904320299591,0.02271428968424385,0.44152644266392604
54,0.4904134803465727,0.13754612873669733,0.04677176206295231,0.5609774697126056
55,0.8624538712633025,0.02271428968424385,0.4879095679700409,0.4390225302873943
56,0.9772857103157562,0.002503912376531775,0.8624538712633025,0.6052453193990261
57,0.9974960876234682,0.044267849686420536,0.9772857103157562,0.8826642485710148
58,1.0,0.4879095679700409,0.9532282379370476,0.979789622692288
59,1.0,0.8624538712633025,0.5120904320299591,0.9974960876234682
60,1.0,0.9772857103157562,0.13754612873669733,1.0
61,1.0,0.9974960876234682,0.02271428968424385,1.0
62,1.0,1.0,0.002503912376531775,1.0
63,1.0,0.9557321503135794,0.0,1.0
64,1.0,0.5120904320299591,0.0,1.0
65,1.0,0.13754612873669733,0.0,1.0
66,1.0,0.02271428968424385,0.044267849686420536,1.0
67,1.0,0.002503912376531775,0.4879095679700409,1.0
68,1.0,0.0,0.8624538712633025,1.0
69,1.0,0.044267849686420536,0.9772857103157562,1.0
70,1.0,0.4879095679700409,0.9532282379370476,1.0
71,1.0,0.8624538712633025,0.5120904320299591,0.9557321503135794
72,1.0,0.9330178606293357,0.13754612873669733,0.5563582817163797
73,1.0,0.5095865196534273,0.02271428968424385,0.6254556967067384
74,1.0,0.1818139784231179,0.002503912376531775,0.8851681609475466
75,0.9557321503135794,0.5106238576542848,0.0,0.9355217730058675
76,0.5120904320299591,0.8206899339534138,0.0,0.5095865196534273
77,0.1818139784231179,0.48937614234571514,0.044267849686420536,0.1818139784231179
78,0.5106238576542848,0.13504221636016558,0.4879095679700409,0.5106238576542848
79,0.8649577836398343,0.02271428968424385,0.8624538712633025,0.8649577836398343
80,0.9772857103157562,0.002503912376531775,0.9772857103157562,0.9772857103157562
81,0.9974960876234682,0.0,0.9974960876234682,0.9974960876234682
82,1.0,0.0,0.9557321503135794,0.9557321503135794
83,1.0,0.044267849686420536,0.5120904320299591,0.5563582817163797
84,0.9557321503135794,0.4879095679700409,0.13754612873669733,0.6254556967067384
85,0.5563582817163797,0.8181860215768821,0.06698213937066438,0.8851681609475466
86,0.6254556967067384,0.48937614234571514,0.4904134803465727,0.979789622692288
87,0.8851681609475466,0.13504221636016558,0.8624538712633025,0.9974960876234682
88,0.979789622692288,0.02271428968424385,0.9772857103157562,1.0
89,0.9974960876234682,0.002503912376531775,0.9532282379370476,1.0
90,1.0,0.0,0.5563582817163797,1.0
91,1.0,0.0,0.6254556967067384,1.0
92,1.0,0.0,0.8851681609475466,1.0
93,1.0,0.0,0.979789622692288,1.0
94,1.0,0.044267849686420536,0.9532282379370476,1.0
