,act,context,onset,offset,inter_scale,target,predictability,agent_H_NH,main_effector,eff_visibility,act_label,obj_label,run,sociality,dinamicity,durativity,telicity,iterativity,transitivity,multi_ag_vs_jointact,tool_mediated,faces,ToM,touch,EBL,EIA,gesticolare,simbolic_gestures,people_present,rater
372,act_373,1,06:36.4,06:44.0,0,3,0,1,6,1,parlare,cane,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,LT
373,act_374,1,06:47.6,06:51.2,1,0,0,1,10,1,andare,bicicletta,2,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,1,LT
374,act_375,1,06:51.3,06:53.2,1,0,0,1,10,1,andare,bicicletta,2,0,1,1,0,0,1,2,0,1,0,2,0,0,0,0,1,LT
375,act_376,1,06:51.3,06:53.2,1,4,0,0,5,1,correre ,,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,LT
376,act_377,1,06:53.6,06:58.2,1,0,0,0,10,1,trascinare,bicicletta,2,0,1,1,0,0,1,1,0,1,0,2,1,0,0,0,1,LT
377,act_378,1,06:54.4,06:58.2,0,0,0,1,12,1,frenare,bicicletta,2,1,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,LT
378,act_379,1,06:58.5,07:03.6,1,0,0,1,10,1,andare,bicicletta,2,0,1,1,0,0,1,2,0,1,0,2,0,0,0,0,1,LT
379,act_380,1,06:58.5,07:03.6,1,4,0,0,5,1,correre ,,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,LT
380,act_381,1,07:03.6,07:11.6,1,0,0,0,10,1,trascinare,bicicletta,2,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,LT
381,act_382,1,07:08.2,07:09.8,1,1,0,1,5,1,evitare,bicicletta,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,LT
382,act_383,1,07:09.9,07:11.6,0,3,0,1,6,1,urlare,cane,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,LT
383,act_384,1,07:11.9,07:12.9,0,0,0,1,5,1,fermare,bicicletta,2,1,1,0,1,0,1,0,0,1,0,2,0,0,0,0,1,LT
384,act_385,1,07:13.2,07:15.5,1,0,0,0,10,1,trascinare,bicicletta,2,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,LT
385,act_386,1,07:15.7,07:16.8,1,4,0,0,5,1,correre ,,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
386,act_387,1,07:17.2,07:18.1,0,3,0,1,6,1,urlare,donna,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,LT
387,act_388,1,07:22.7,07:24.3,0,1,0,1,10,1,emergere,acqua,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,LT
388,act_389,2,00:09.1,00:14.6,0,2,0,1,6,1,parlare,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
389,act_390,2,00:14.8,00:25.3,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
390,act_391,2,00:15.9,00:20.5,0,3,0,0,8,1,leccare,muso,3,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,LT
391,act_392,2,00:25.8,00:26.9,0,2,0,1,6,1,scusarsi ,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
392,act_393,2,00:24.0,00:28.4,0,0,1,1,3,1,bere,bevanda,3,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,LT
393,act_394,2,00:26.9,00:28.9,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
394,act_395,2,00:27.7,00:31.1,0,0,1,1,2,1,bere,bevanda,3,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,LT
395,act_396,2,00:30.7,00:32.6,0,2,0,1,6,1,scusarsi ,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
396,act_397,2,00:32.9,00:33.4,0,2,0,1,6,1,ringraziare ,donna,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
397,act_398,2,00:35.1,00:37.6,1,0,0,1,2,1,appoggiare,scaldino,3,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,LT
398,act_399,2,00:38.2,00:39.6,0,2,0,1,7,1,accennare,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,LT
399,act_400,2,00:40.1,00:42.5,0,3,0,0,8,1,leccare,muso,3,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,LT
400,act_401,2,00:45.3,00:52.1,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,LT
401,act_402,2,00:54.2,00:57.5,0,3,0,0,7,1,coccolare ,cane,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,LT
402,act_403,2,00:56.2,00:57.8,0,2,0,1,6,1,parlare,uomo,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,LT
403,act_404,2,00:58.5,00:59.7,0,2,0,1,6,1,domandare,uomo,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,LT
404,act_405,2,01:00.7,01:03.0,0,0,1,1,2,1,bere,bevanda,3,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,LT
405,act_406,2,01:00.6,01:03.1,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,LT
406,act_407,2,01:03.0,01:04.5,0,2,0,0,10,1,sollevarsi,uomo,3,1,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,LT
407,act_408,2,01:04.5,01:07.8,0,2,0,1,6,1,parlare,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
408,act_409,2,01:07.9,01:09.9,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
409,act_410,2,01:09.3,01:12.1,0,0,1,1,2,1, bere,bevanda,3,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,LT
410,act_411,2,01:13.8,01:15.0,0,0,0,1,2,1,spostare,tazza,3,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,LT
411,act_412,2,01:11.1,01:12.6,0,2,0,1,6,1,parlare,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
